id	prominence	scholarlyOutput	topicCount	name
1	99	254699	247	COVID-19, Its Impact, and Vaccination
2	92	59087	179	Synthetic Aperture Radar Technologies
3	97	65444	154	MIMO Antenna Systems and Channel Estimation
4	89	46587	140	Lymphoma Pathogenesis and Treatment Insights
5	100	147480	194	Machine Learning Techniques in Sentiment Analysis
6	98	56138	360	Antioxidant Compounds and Their Medicinal Potential
7	69	15517	402	Hydrogen Bonding and Complexation in Crystalline Structures
8	80	22952	350	Quantum Chemistry and Molecular Interaction Insights
9	95	50602	142	Quantum Information and Optical State Manipulation
10	79	30344	310	Genetic Diversity and Evolutionary Insights Across Species
11	87	32271	140	Asthma Management and Quality of Life Enhancements
12	89	47505	114	Power Electronics Control Systems
13	93	29411	126	Ferroelectric Materials for Energy Storage Applications
14	92	41311	180	Climate Variability and Tropical Cyclone Dynamics
15	84	38885	127	Antenna Design and Wireless Power Transfer
16	95	39437	149	Innovative Approaches in Diabetes Management and Monitoring
17	79	21158	110	Interplay of DNA, RNA, and Protein Dynamics
18	85	28756	157	Hypertension Management and Dietary Sodium Impact
19	88	22119	106	Carbon Nanotubes in Advanced Material Applications
20	97	43714	253	Soil Carbon Dynamics in Agricultural Ecosystems
21	96	45372	98	Antibiotic Resistance Mechanisms in Clinical Infections
22	92	32267	132	Interplay of Quantum Gravity and Cosmological Models
23	95	40850	136	Atmospheric Aerosol Emissions and Pollution Dynamics
24	94	34550	152	Optimization Algorithms in Multi-Objective Systems
25	98	36066	163	Value Creation in Supply Chain Management Systems
26	77	28887	171	Enhancing Patient Safety through Medication Management
27	76	18223	124	Neutrino Mass and Higgs Mechanisms
28	82	38782	87	Biomechanics and Treatment Strategies in Spinal Health
29	80	28179	96	Breast Cancer Management and Imaging Techniques
30	96	52438	115	Interconnected Dynamics of Social Networks and Data Privacy
31	77	30457	273	Geochronology and Mineral Evolution in Orogenic Belts
32	82	42441	294	Migration Dynamics and Socioeconomic Impacts
33	68	30205	80	Aortic Aneurysm Management and Outcomes
34	71	23594	117	Innovative Techniques in Image Processing and Calibration
35	76	23513	124	Cognitive and Physical Health in Schizophrenia
36	96	35924	74	Epigenetic Mechanisms and Telomere Dynamics in Cancer
37	91	33774	88	Routing Protocols and Quality of Service in Networks
38	89	23893	79	Zinc Oxide Nanostructures and Applications
39	85	24824	94	Surface Plasmon Resonance in Material Characterization
40	88	33261	152	Microbial Diversity and Gene Analysis in Pathogens
41	88	37898	82	Retinal Disease Detection and Treatment
42	92	33625	98	MicroRNA Roles in Cancer and Gene Regulation
43	76	16342	104	Cell Death Mechanisms in Cancer Progression
44	69	28452	93	Glaucoma Management and Corneal Health Insights
45	98	42555	157	Corporate Governance and Ownership Impact on Performance
